REF_AREA_NAME;INDICATOR_NAME;UNIT_MEASURE_NAME;TIME_PERIOD;OBS_VALUE
Israel;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.983
Italy;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;10.617
Jamaica;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;9.125
Japan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;2.442
Jordan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;18.6
Kazakhstan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;4.828
Kenya;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Kiribati;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Korea, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.833
Kosovo;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;29.5
Kuwait;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Kyrgyz Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.922
Lao PDR;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Latvia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;7.415
Lebanon;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Lesotho;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Liberia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Libya;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Lithuania;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.146
Luxembourg;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.103
Macao SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;1.8
Madagascar;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Malawi;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Malaysia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.325
Maldives;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Mali;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Malta;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.658
Marshall Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Mauritania;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Mauritius;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.9
Mexico;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.321
Micronesia, Fed. Sts.;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Moldova;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.05
Mongolia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;7.8
Montenegro;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Morocco;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;9.5
Mozambique;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Myanmar;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Namibia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Nauru;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Nepal;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Netherlands;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;4.881
New Zealand;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;4.325
Nicaragua;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.5
Niger;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Nigeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;22.562
North Macedonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;20.725
Norway;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.854
Oman;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Pakistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.8
Palau;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Panama;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.956
Papua New Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Paraguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.236
Peru;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.64
Philippines;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.325
Poland;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.846
Portugal;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;7.175
Puerto Rico;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;9.2
Qatar;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Romania;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.25
Russian Federation;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;4.8
Rwanda;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Samoa;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
San Marino;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;8.009
Sao Tome and Principe;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Saudi Arabia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.025
Senegal;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Serbia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;13.673
Seychelles;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.0
Sierra Leone;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Singapore;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;2.1
Slovak Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.508
Slovenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;5.125
Solomon Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Somalia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
South Africa;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;27.125
South Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Spain;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;15.255
Sri Lanka;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;4.4
St. Kitts and Nevis;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
St. Lucia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
St. Vincent and the Grenadines;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;19.5
Suriname;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;9.0
Sweden;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;6.433
Switzerland;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;2.547
Syrian Arab Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Taiwan, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.71
Tajikistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Tanzania;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Thailand;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;1.1
Timor-Leste;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Togo;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Tonga;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Trinidad and Tobago;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Tunisia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;15.53
Turkiye;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;10.907
Turkmenistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Tuvalu;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Uganda;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Ukraine;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;9.0
United Arab Emirates;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
United Kingdom;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;4.175
United States;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;3.892
Uruguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;8.367
Uzbekistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;9.347
Vanuatu;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Venezuela, RB;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;35.554
Viet Nam;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;2.19
West Bank and Gaza;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;26.25
Yemen, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Zambia;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Zimbabwe;Unemployment rate, Percent of total labor force;Percentage of labor force;2018;
Afghanistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Albania;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;13.7
Algeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;11.709
Andorra;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;2.35
Angola;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Antigua and Barbuda;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Argentina;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.35
Armenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;17.8
Aruba;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.923
Australia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.593
Austria;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.933
Azerbaijan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.961
Bahamas, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;10.1
Bahrain;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.1
Bangladesh;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Barbados;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.95
Belarus;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.684
Belgium;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;7.117
Belize;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.328
Benin;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Bhutan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.138
Bolivia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.085
Bosnia and Herzegovina;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;20.5
Botswana;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Brazil;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;12.85
Brunei Darussalam;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.3
Bulgaria;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.23
Burkina Faso;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Burundi;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Cabo Verde;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;12.2
Cambodia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Cameroon;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Canada;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.408
Central African Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Chad;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Chile;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.965
China;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.0
Colombia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.675
Comoros;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Congo, Dem. Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Congo, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Costa Rica;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.293
Cote d'Ivoire;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Croatia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;12.433
Cyprus;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;11.05
Czechia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;2.89
Denmark;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.825
Djibouti;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Dominica;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Dominican Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.509
Ecuador;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.62
Egypt, Arab Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;12.245
El Salvador;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;7.05
Equatorial Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Eritrea;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Estonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.763
Eswatini;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Ethiopia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Fiji;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.5
Finland;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.825
France;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.417
Gabon;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Gambia, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Georgia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;21.6
Germany;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.567
Ghana;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Greece;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;21.45
Grenada;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Guatemala;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Guinea-Bissau;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Guyana;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Haiti;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Honduras;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.528
Hong Kong SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.124
Hungary;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.0
Iceland;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.283
India;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Indonesia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.5
Iran, Islamic Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;12.075
Iraq;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Ireland;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.767
Israel;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.217
Italy;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;11.292
Jamaica;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;11.65
Japan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;2.825
Jordan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;18.3
Kazakhstan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.872
Kenya;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Kiribati;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Korea, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.683
Kosovo;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;30.475
Kuwait;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Kyrgyz Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.891
Lao PDR;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Latvia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.715
Lebanon;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Lesotho;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Liberia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Libya;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Lithuania;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;7.073
Luxembourg;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.843
Macao SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;1.975
Madagascar;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Malawi;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Malaysia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.425
Maldives;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Mali;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Malta;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.0
Marshall Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Mauritania;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Mauritius;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;7.1
Mexico;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.42
Micronesia, Fed. Sts.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Moldova;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.125
Mongolia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.8
Montenegro;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Morocco;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;10.2
Mozambique;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Myanmar;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Namibia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Nauru;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Nepal;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Netherlands;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.873
New Zealand;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.75
Nicaragua;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.67
Niger;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Nigeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;17.462
North Macedonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;22.375
Norway;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.216
Oman;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Pakistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.832
Palau;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Panama;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.13
Papua New Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Paraguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.086
Peru;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.877
Philippines;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.725
Poland;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.888
Portugal;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.208
Puerto Rico;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;10.8
Qatar;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Romania;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.092
Russian Federation;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.2
Rwanda;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Samoa;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
San Marino;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.095
Sao Tome and Principe;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;13.472
Saudi Arabia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.9
Senegal;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Serbia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;14.493
Seychelles;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.0
Sierra Leone;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Singapore;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;2.175
Slovak Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;8.058
Slovenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.575
Solomon Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Somalia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
South Africa;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;27.45
South Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Spain;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;17.225
Sri Lanka;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.2
St. Kitts and Nevis;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
St. Lucia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
St. Vincent and the Grenadines;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;19.6
Suriname;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;7.0
Sweden;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;6.783
Switzerland;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.088
Syrian Arab Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Taiwan, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;3.76
Tajikistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Tanzania;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Thailand;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;1.2
Timor-Leste;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Togo;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Tonga;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Trinidad and Tobago;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Tunisia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;15.513
Turkiye;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;10.918
Turkmenistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Tuvalu;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Uganda;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Ukraine;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;9.65
United Arab Emirates;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
United Kingdom;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.45
United States;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;4.358
Uruguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;7.925
Uzbekistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;5.83
Vanuatu;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Venezuela, RB;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;27.886
Viet Nam;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;2.24
West Bank and Gaza;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;25.45
Yemen, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Zambia;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Zimbabwe;Unemployment rate, Percent of total labor force;Percentage of labor force;2017;
Afghanistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Albania;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;15.2
Algeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;10.498
Andorra;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;3.3
Angola;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Antigua and Barbuda;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Argentina;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;8.467
Armenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;18.0
Aruba;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;7.694
Australia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;5.713
Austria;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;6.475
Azerbaijan;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;5.043
Bahamas, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;12.15
Bahrain;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;4.3
Bangladesh;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Barbados;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;9.65
Belarus;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;5.92
Belgium;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;7.842
Belize;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;9.541
Benin;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Bhutan;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;2.1
Bolivia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;4.686
Bosnia and Herzegovina;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;25.4
Botswana;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Brazil;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;11.65
Brunei Darussalam;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;8.5
Bulgaria;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;7.666
Burkina Faso;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Burundi;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Cabo Verde;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;15.0
Cambodia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Cameroon;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Canada;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;7.033
Central African Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Chad;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Chile;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;6.685
China;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Colombia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;9.55
Comoros;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Congo, Dem. Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Congo, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Costa Rica;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;9.541
Cote d'Ivoire;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Croatia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;14.958
Cyprus;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;12.95
Czechia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;3.946
Denmark;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;5.983
Djibouti;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Dominica;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Dominican Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;7.08
Ecuador;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;5.21
Egypt, Arab Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;12.705
El Salvador;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;7.0
Equatorial Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Eritrea;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;
Estonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2016;6.758
